	time	title	summary	link	source
0	1488328740	donald trump speaks to congress in first presidential address live	president will discuss his economic vision and plans for healthcare reform in a speech expected to solidify the populist agenda that helped sweep him to to detail promises made and promises kept in speech to invites relatives of those killed by undocumented people to capitol hill number tonight donald trump will address congress for the first time since taking office outlining his vision for the country his dizzying number days in office have included a controversial travel ban squashed by the courts constant squabbling with the media and diplomatic tussles with traditional speech which kicks off at number est is like a mini state of the union address and will go for over an hour well be the whole affair at number est im going to speak before congress for the first time but more importantly i will be speaking to you the american your eye out tonight as democratic in support of rights during the number white for the via continue reading	https://www.theguardian.com/us-news/live/2017/feb/28/donald-trump-presidential-address-congress-live	GuardianUS
1	1488326934	trump signals willingness to let some undocumented immigrants stay in us	president indicated a possible major shift in his stance on mass deportations but spokesperson didnt confirm if proposal will feature in speech to trump signaled tuesday he is open to legislation that would allow some undocumented immigrants to stay in the us without fear of deportation if adopted such a proposal would be a major shift in position from trumps pledges of mass deportation details emerged late tuesday before trumps first presidential address to congress at a meeting with television anchors the proposal would allow people who have not been convicted of a serious or violent crime to stay in the us legally gain employment and pay taxes continue reading	https://www.theguardian.com/us-news/2017/feb/28/donald-trump-speech-to-congress-democrats	GuardianUS
2	1488325003	senators question if dan coats is tough enough to be intelligence director	senate intelligence committee members raised concerns over whether likable nominee would be able to influence trump and stand up for agencies trumps nominee to oversee the us intelligence agencies has had his toughness and relevance questioned by his former colleagues on the senate intelligence committee during a long awaited confirmation hearing to make dan coats until recently an amiable senator from indiana the next director of national intelligence several senators wondered whether coats possesses the grit and the influence to represent the intelligence agencies amid an ongoing row with the white house over russia and concern over the place in the national security firmament continue reading	https://www.theguardian.com/us-news/2017/feb/28/dan-coats-national-intelligence-director-senate-hearing	GuardianUS
3	1488324740	trump invites relatives of those killed by undocumented people to capitol hill	in effort to emphasize illegal immigration during speech to congress presidents guest list includes three people whose family members were donald trump prepares to issue his first address before a joint session of congress on tuesday he will bring with him as guests the family members of those killed by undocumented immigrants to cast a spotlight on illegal white house issued a guest list for the president and first lady trump which included three relatives who lost loved ones at the hands of an individual found to have entered the country illegally continue reading	https://www.theguardian.com/us-news/2017/feb/28/trump-congress-speech-illegal-immigration-guests	GuardianUS
4	1488323735	big night on the hill	got a minute trump prepares for joint address to lawmakers and accuses of orchestrating protests splinters over proposed foreign aid cuts and misstep with and everything else today in us politics number all eyes are on donald trumps first address to a joint session of congress scheduled for this president is expected to outline his agenda on topics such as healthcare and immigration and to celebrate himself for the campaign promises hes already acted on during his whirlwind first number days in office number in an interview with fox and friends that aired tuesday morning donald trump said he thought was to blame for nationwide protests of trump and for continued leaks from his administration continue reading	https://www.theguardian.com/us-news/live/2017/feb/28/congress-speech-trump-obama-devos	GuardianUS
5	1488323138	trump suggests antisemitic threats may be politically motivated official says	president said some bomb threats against jewish centers may have been intended to make others look bad says pennsylvania attorney trump on tuesday said that a spate of bomb threats against jewish centers could have been an attempt to make others look bad according to the pennsylvania attorney general josh who attended a white house meeting with other state law enforcement officials trumps comments as described by appeared to suggest that some of the threats may have been manufactured for political reasons trump made similar remarks at a conference earlier this month when asked about acts of discrimination saying some incidents had been created by his opponents to generate negative media coverage continue reading	https://www.theguardian.com/us-news/2017/feb/28/jewish-bomb-threats-antisemitism-trump-administration	GuardianUS
6	1488322783	mem fox says detainment by us immigration made me ashamed to be a human being video	speaking to the panel on channel tens the project the celebrated australian author tells how on her number visit to the us she was detained and insulted by border control agents at angeles fox on being detained by us immigration in that moment i loathed america continue reading	https://www.theguardian.com/us-news/video/2017/mar/01/mem-fox-says-detainment-by-us-immigration-made-me-ashamed-to-be-a-human-being-video	GuardianUS
7	1488316471	latest trump executive order aims to dismantle clean water rule	environmental policy intended to curb pollution flowing into water also signed order to establish federal program to support trump on tuesday signed an executive order aimed at unraveling one of signature environmental policies designed to protect american waterways from presidents move marked the first step toward fulfilling his pledge on the campaign trail to roll back era regulations which include a number rule designed to curb the flow of pollution into major bodies of water wetlands and ponds by expanding the requirement of permits to pursue any actions that might cause them harm continue reading	https://www.theguardian.com/us-news/2017/feb/28/clean-water-rule-trump-executive-order-hbcus	GuardianUS
8	1488313716	sparks ire by linking historically black colleges with school choice	education secretary calls real pioneers on conservative issue despite fact that racist admissions policies elsewhere spurred institutions the controversial newly appointed secretary of education is facing scorn on capitol hill and around the country after releasing a statement that compared the emergence of historically black colleges and universities amid pervasive and overt racial exclusion with the battle for school a statement tied to a listening session with leaders said are living proof that when more options are provided to students they are afforded greater access and greater quality continue reading	https://www.theguardian.com/us-news/2017/feb/28/betsy-devos-hbcus-school-choice-education-race	GuardianUS
9	1488301047	climate change in the us the dangers and the solutions about this series	this guardian us series of articles and films on climate change will focus on people already impacted displaced or threatened by sea level rise and will examine how the threat can be tackled including with clean content is funded with support in part from the foundation content is editorially independent and focuses on solutions to climate change and its our journalism follows published editorial code the guardian is committed to open journalism recognising that the best understanding of the world is achieved when we collaborate share knowledge encourage debate welcome challenge and harness the expertise of specialists and their communities continue reading	https://www.theguardian.com/us-news/2017/feb/20/climate-change-us-solutions-dangers-series	GuardianUS
